anio,mes_nro,mes,jurisdiccion,apellido_nombre,cargo,asignacion_mensual
2016,3,Marzo,Seguridad,Bullrich Patricia,Ministro,115842.3
2016,3,Marzo,"Trabajo, Empleo y Seguridad Social","Triaca, Alberto Jorge",Ministro,115842.3
2016,3,Marzo,Transporte,Dietrich Guillermo Javier,Ministro,115842.3
2016,3,Marzo,Turismo,Santos Jose Gustavo,Ministro,123862.3
2016,4,Abril,Presidencia de la Nación,"Macri, Mauricio",Presidente,131421.89
2016,4,Abril,Presidencia de la Nación,"Michetti, Gabriela Marta",Vice-presidente ,121686.59
2016,4,Abril,Agroindustria,Buryaile Ricardo,Ministro,123862.3
2016,4,Abril,Ambiente y Desarrollo Sustentable,Bergman Sergio Alejandro,Ministro,115842.32
2016,4,Abril,"Ciencia, Tecnología E Innovación Productiva","Barañao, Jose Lino Salvador",Ministro,115836.0
2016,4,Abril,Comunicaciones,Aguad Oscar Raul,Ministro,115842.3
2016,4,Abril,Cultura,"Avelluto, Alejandro Pablo",Ministro,115842.29
2016,4,Abril,Defensa,"Martinez, Julio Cesar",Ministro,123862.31
2016,4,Abril,Desarrollo Social,Stanley Carolina,Ministro,115842.31
2016,4,Abril,Educación y Deportes,"Bullrich, Esteban Jose",Ministro,115842.3
2016,4,Abril,Energía y Minería,Aranguren Juan Jose,Ministro,115842.3
2016,4,Abril,Hacienda y Finanzas Públicas,De Prat Gay Alfonso,Ministro,115842.3
2016,4,Abril,"Interior, Obras Públicas y Vivienda",Frigerio Rogelio,Ministro,115842.3
2016,4,Abril,Jefatura de Gabinete,Peña Marcos,Ministro,115938.72
2016,4,Abril,Justicia y Derechos Humanos,Garavano German Carlos,Ministro,115842.32
2016,4,Abril,Modernización,Ibarra Andres Horacio,Ministro,115938.72
2016,4,Abril,Producción,Cabrera Francisco Adolfo,Ministro,115842.3
2016,4,Abril,Relaciones Exteriores y Culto,Malcorra Susana Mabel,Ministro,115842.31
2016,4,Abril,Salud,Lemus Jorge Daniel,Ministro,115842.31
2016,4,Abril,Seguridad,Bullrich Patricia,Ministro,115842.3
2016,4,Abril,"Trabajo, Empleo y Seguridad Social","Triaca, Alberto Jorge",Ministro,115842.3
2016,4,Abril,Transporte,Dietrich Guillermo Javier,Ministro,115842.3
2016,4,Abril,Turismo,Santos Jose Gustavo,Ministro,123862.3
